Con_Name,Con_Num,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
Estevan,11,332142.67318899999,5393020325.19999980927,country:ca/province:sk/ed:11,country:ca/province:sk
Weyburn-Big Muddy,59,477268.41958500003,10237814976.00000000000,country:ca/province:sk/ed:59,country:ca/province:sk
Wood River,60,787051.30340199999,27500707998.50000000000,country:ca/province:sk/ed:60,country:ca/province:sk
Swift Current,57,30996.69959170000,28357191.59670000151,country:ca/province:sk/ed:57,country:ca/province:sk
Moose Jaw Wakamow,24,43386.26468810000,32563341.44359999895,country:ca/province:sk/ed:24,country:ca/province:sk
Moose Jaw North,23,20239.60464440000,18730864.17469999939,country:ca/province:sk/ed:23,country:ca/province:sk
Regina University,37,19688.87265320000,12729678.72749999911,country:ca/province:sk/ed:37,country:ca/province:sk
Regina Lakeview,32,14467.24032270000,7295733.70676000044,country:ca/province:sk/ed:32,country:ca/province:sk
Regina Pasqua,34,36801.85504400000,31719423.34540000185,country:ca/province:sk/ed:34,country:ca/province:sk
Regina Douglas Park,29,15422.11870840000,9578872.59126999974,country:ca/province:sk/ed:29,country:ca/province:sk
Regina Gardiner Park,31,14947.45057280000,6962889.57141000032,country:ca/province:sk/ed:31,country:ca/province:sk
Regina Elphinstone-Centre,30,12847.36424580000,9706244.91489000060,country:ca/province:sk/ed:30,country:ca/province:sk
Regina Rosemont,36,16245.28443710000,10516680.64800000004,country:ca/province:sk/ed:36,country:ca/province:sk
Regina Walsh Acres,38,11813.40731810000,5904060.90354000032,country:ca/province:sk/ed:38,country:ca/province:sk
Regina Coronation Park,28,11471.20363420000,6800859.03761999961,country:ca/province:sk/ed:28,country:ca/province:sk
Regina Northeast,33,26126.24332630000,24604230.89330000058,country:ca/province:sk/ed:33,country:ca/province:sk
Regina Rochdale,35,22369.68597870000,14120229.37109999917,country:ca/province:sk/ed:35,country:ca/province:sk
Moosomin,25,719340.23500999995,11217751957.70000076294,country:ca/province:sk/ed:25,country:ca/province:sk
Lumsden-Morse,18,848453.80926000001,13308092914.79999923706,country:ca/province:sk/ed:18,country:ca/province:sk
Regina Wascana Plains,39,201371.86996300000,791913951.28699994087,country:ca/province:sk/ed:39,country:ca/province:sk
Indian Head-Milestone,13,489038.48127400002,5743491908.69999980927,country:ca/province:sk/ed:13,country:ca/province:sk
Cypress Hills,10,779894.44533599995,29521395793.20000076294,country:ca/province:sk/ed:10,country:ca/province:sk
Yorkton,61,42445.60333660000,42847239.67419999838,country:ca/province:sk/ed:61,country:ca/province:sk
Melville-Saltcoats,22,467254.81300099997,6714815210.39999961853,country:ca/province:sk/ed:22,country:ca/province:sk
Last Mountain-Touchwood,16,610120.14589699998,10875360137.70000076294,country:ca/province:sk/ed:16,country:ca/province:sk
Arm River,1,810368.68187800003,20349105830.29999923706,country:ca/province:sk/ed:1,country:ca/province:sk
Saskatoon Eastview,45,13482.96996650000,6748539.49036999978,country:ca/province:sk/ed:45,country:ca/province:sk
Saskatoon Southeast,52,16209.29939110000,8512559.94672000036,country:ca/province:sk/ed:52,country:ca/province:sk
Saskatoon Churchill-Wildwood,44,13033.85447340000,6054948.52465999965,country:ca/province:sk/ed:44,country:ca/province:sk
Saskatoon Riversdale,50,20116.29766150000,14802271.98609999940,country:ca/province:sk/ed:50,country:ca/province:sk
Saskatoon Nutana,49,14932.10762140000,7194327.48844000045,country:ca/province:sk/ed:49,country:ca/province:sk
Rosetown-Elrose,40,648369.27128400002,17117085263.89999961853,country:ca/province:sk/ed:40,country:ca/province:sk
Saskatoon Centre,43,13130.62966000000,7152765.70899999980,country:ca/province:sk/ed:43,country:ca/province:sk
Saskatoon University,54,17084.08025830000,12355741.22690000013,country:ca/province:sk/ed:54,country:ca/province:sk
Saskatoon Westview,55,14775.67004230000,8095863.52376999985,country:ca/province:sk/ed:55,country:ca/province:sk
Saskatoon Fairview,46,26513.41036340000,28303911.83390000090,country:ca/province:sk/ed:46,country:ca/province:sk
Saskatoon Meewasin,47,15187.74323490000,8631215.93927999958,country:ca/province:sk/ed:47,country:ca/province:sk
Saskatoon Willowgrove,56,29709.22144650000,40287864.29779999703,country:ca/province:sk/ed:56,country:ca/province:sk
